timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056668619710736,SpatialInputCamera,CameraPosition,593.8004,647.0828,-1437.32,CameraDirection,-0.07213835,-0.5023603,0.8616443,NT,user-01
636056668619866937,SpatialInputCamera,CameraPosition,593.8004,647.0828,-1437.32,CameraDirection,-0.07213835,-0.5023603,0.8616443,NT,user-01
636056668620023231,SpatialInputCamera,CameraPosition,593.6367,646.0402,-1438.093,CameraDirection,-0.06046477,-0.4960273,0.8661991,NT,user-01
636056668620179444,SpatialInputCamera,CameraPosition,593.7905,644.7757,-1437.887,CameraDirection,-0.04888723,-0.4918069,0.8693309,NT,user-01
636056668620335689,SpatialInputCamera,CameraPosition,593.7905,644.7757,-1437.887,CameraDirection,-0.04888723,-0.4918069,0.8693309,NT,user-01
636056668620491795,SpatialInputCamera,CameraPosition,594.0067,644.2244,-1437.512,CameraDirection,-0.04593218,-0.4920366,0.869362,NT,user-01
636056668620648040,SpatialInputCamera,CameraPosition,594.5356,643.4146,-1436.442,CameraDirection,-0.04570169,-0.4961527,0.8670316,NT,user-01
636056668620804294,SpatialInputCamera,CameraPosition,594.5356,643.4146,-1436.442,CameraDirection,-0.04570169,-0.4961527,0.8670316,NT,user-01
636056668620960646,SpatialInputCamera,CameraPosition,595.0035,642.9327,-1435.522,CameraDirection,-0.04939158,-0.5021836,0.8633495,NT,user-01
636056668621116797,SpatialInputCamera,CameraPosition,596.0959,641.822,-1433.101,CameraDirection,-0.06186471,-0.5175735,0.8533996,NT,user-01
636056668621273051,SpatialInputCamera,CameraPosition,596.0959,641.822,-1433.101,CameraDirection,-0.06186471,-0.5175735,0.8533996,NT,user-01
636056668621585574,SpatialInputCamera,CameraPosition,597.2081,640.0046,-1430.287,CameraDirection,-0.08019802,-0.5290155,0.8448141,NT,user-01
636056668621741885,SpatialInputCamera,CameraPosition,597.8696,638.8123,-1428.77,CameraDirection,-0.08814839,-0.5338269,0.8409868,NT,user-01
636056668621898176,SpatialInputCamera,CameraPosition,597.8696,638.8123,-1428.77,CameraDirection,-0.08814839,-0.5338269,0.8409868,NT,user-01
636056668622054306,SpatialInputCamera,CameraPosition,598.856,636.6553,-1426.566,CameraDirection,-0.09693421,-0.5405495,0.8357095,NT,user-01
636056668622210576,SpatialInputCamera,CameraPosition,599.189,634.9624,-1425.256,CameraDirection,-0.1001673,-0.5458171,0.8318956,NT,user-01
636056668622366957,SpatialInputCamera,CameraPosition,599.189,634.9624,-1425.256,CameraDirection,-0.1001673,-0.5458171,0.8318956,NT,user-01
636056668622523211,SpatialInputCamera,CameraPosition,600.5901,631.3922,-1422.632,CameraDirection,-0.09970286,-0.5600707,0.8224235,NT,user-01
636056668622679333,SpatialInputCamera,CameraPosition,601.8127,627.2955,-1420.184,CameraDirection,-0.09465962,-0.5762979,0.811739,NT,user-01
636056668622835583,SpatialInputCamera,CameraPosition,601.8127,627.2955,-1420.184,CameraDirection,-0.09465962,-0.5762979,0.811739,NT,user-01
636056668622991832,SpatialInputCamera,CameraPosition,602.1513,626.2127,-1419.737,CameraDirection,-0.09338509,-0.5813041,0.8083097,NT,user-01
636056668623148081,SpatialInputCamera,CameraPosition,603.5258,621.8381,-1417.499,CameraDirection,-0.08721233,-0.6015966,0.7940249,NT,user-01
636056668623304343,SpatialInputCamera,CameraPosition,604.1787,619.5607,-1416.485,CameraDirection,-0.08592509,-0.610714,0.7871759,NT,user-01
636056668623460712,SpatialInputCamera,CameraPosition,604.1787,619.5607,-1416.485,CameraDirection,-0.08592509,-0.610714,0.7871759,NT,user-01
636056668623616961,SpatialInputCamera,CameraPosition,605.2256,614.7451,-1414.64,CameraDirection,-0.08521275,-0.6248602,0.7760724,NT,user-01
636056668623773215,SpatialInputCamera,CameraPosition,605.2256,614.7451,-1414.64,CameraDirection,-0.08521275,-0.6248602,0.7760724,NT,user-01
636056668624085743,SpatialInputCamera,CameraPosition,606.1652,609.785,-1413.388,CameraDirection,-0.08809128,-0.6342721,0.7680746,NT,user-01
636056668624241861,SpatialInputCamera,CameraPosition,606.6346,607.2491,-1412.847,CameraDirection,-0.09062368,-0.6374992,0.7651025,NT,user-01
636056668624398127,SpatialInputCamera,CameraPosition,606.6346,607.2491,-1412.847,CameraDirection,-0.09062368,-0.6374992,0.7651025,NT,user-01
636056668624554475,SpatialInputCamera,CameraPosition,607.2919,603.4841,-1411.99,CameraDirection,-0.09417733,-0.6424946,0.7604814,NT,user-01
636056668624710724,SpatialInputCamera,CameraPosition,607.7626,601.0518,-1411.48,CameraDirection,-0.09705282,-0.645752,0.7573538,NT,user-01
636056668624866974,SpatialInputCamera,CameraPosition,607.7626,601.0518,-1411.48,CameraDirection,-0.09705282,-0.645752,0.7573538,NT,user-01
636056668625023071,SpatialInputCamera,CameraPosition,607.7626,601.0518,-1411.48,CameraDirection,-0.09705282,-0.645752,0.7573538,NT,user-01
636056668625179325,SpatialInputCamera,CameraPosition,609.2196,592.3981,-1409.533,CameraDirection,-0.1020576,-0.6631353,0.7415093,NT,user-01
636056668625335726,SpatialInputCamera,CameraPosition,609.3518,590.6898,-1409.208,CameraDirection,-0.1022168,-0.6683366,0.7368028,NT,user-01
636056668625491972,SpatialInputCamera,CameraPosition,609.3518,590.6898,-1409.208,CameraDirection,-0.1022168,-0.6683366,0.7368028,NT,user-01
636056668625648221,SpatialInputCamera,CameraPosition,609.7669,588.0998,-1408.841,CameraDirection,-0.09985253,-0.6755487,0.7305229,NT,user-01
636056668625804347,SpatialInputCamera,CameraPosition,609.9676,586.4675,-1408.684,CameraDirection,-0.09778591,-0.6786973,0.7278792,NT,user-01
636056668625960732,SpatialInputCamera,CameraPosition,609.9676,586.4675,-1408.684,CameraDirection,-0.09778591,-0.6786973,0.7278792,NT,user-01
636056668626116855,SpatialInputCamera,CameraPosition,610.3354,583.4085,-1408.463,CameraDirection,-0.09278627,-0.6812133,0.7261814,NT,user-01
636056668626273235,SpatialInputCamera,CameraPosition,610.3354,583.4085,-1408.463,CameraDirection,-0.09278627,-0.6812133,0.7261814,NT,user-01
636056668626585800,SpatialInputCamera,CameraPosition,610.6132,581.1119,-1408.521,CameraDirection,-0.08933517,-0.6842876,0.7237194,NT,user-01
636056668626741894,SpatialInputCamera,CameraPosition,610.5646,580.3634,-1408.745,CameraDirection,-0.08929599,-0.6864091,0.7217125,NT,user-01
636056668626898143,SpatialInputCamera,CameraPosition,610.5646,580.3634,-1408.745,CameraDirection,-0.08929599,-0.6864091,0.7217125,NT,user-01
636056668627054491,SpatialInputCamera,CameraPosition,610.5646,580.3634,-1408.745,CameraDirection,-0.08929599,-0.6864091,0.7217125,NT,user-01
636056668627210741,SpatialInputCamera,CameraPosition,610.8714,578.6439,-1408.969,CameraDirection,-0.08868245,-0.6883079,0.7199778,NT,user-01
636056668627366986,SpatialInputCamera,CameraPosition,610.8714,578.6439,-1408.969,CameraDirection,-0.08868245,-0.6883079,0.7199778,NT,user-01
636056668627523235,SpatialInputCamera,CameraPosition,610.9365,577.9415,-1409.06,CameraDirection,-0.08965794,-0.6897444,0.7184807,NT,user-01
636056668627679341,SpatialInputCamera,CameraPosition,610.9817,577.7413,-1409.239,CameraDirection,-0.08958858,-0.6935354,0.7148307,NT,user-01
636056668627835747,SpatialInputCamera,CameraPosition,610.9096,577.6996,-1409.347,CameraDirection,-0.08929437,-0.6941822,0.7142396,NT,user-01
636056668627991996,SpatialInputCamera,CameraPosition,610.9096,577.6996,-1409.347,CameraDirection,-0.08929437,-0.6941822,0.7142396,NT,user-01
